title:exampleEmotiv, start timestamp:1683180947.898011, stop timestamp:1683180957.960511, headset type:INSIGHT, headset serial:79B30521, headset firmware:931, channels:68, sampling rate:mot_64;pm_0.1;pow_8, samples:645       , version:2.2, 
Timestamp,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1683180948.819886,63.000000,0.000000,0.717900,0.156250,0.593750,-0.328125,0.968765,0.218753,-0.218753,-76.563667,-13.104859,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.835511,0.000000,0.000000,0.522212,0.421875,0.421875,-0.609375,0.968765,0.187503,-0.218753,-76.563667,-15.622558,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.851136,1.000000,0.000000,0.996821,0.000000,0.078125,0.015625,0.968765,0.187503,-0.250004,-76.563667,-17.888485,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.866761,2.000000,0.000000,0.993386,-0.046875,0.093750,0.046875,0.968765,0.187503,-0.250004,-76.563667,-19.927820,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.882386,3.000000,0.000000,0.986110,-0.062500,0.140625,0.062500,0.968765,0.187503,-0.218753,-76.563667,-21.763222,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.898011,4.000000,0.000000,0.969002,-0.062500,0.234375,0.046875,0.968765,0.187503,-0.250004,-76.563667,-19.586899,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.913636,5.000000,0.000000,0.926234,0.031250,0.359375,-0.109375,0.968765,0.187503,-0.250004,-76.563667,-17.628210,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.929261,6.000000,0.000000,0.707624,0.296875,0.437500,-0.468750,0.968765,0.187503,-0.218753,-76.563667,-15.865388,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.944886,7.000000,0.000000,0.764189,0.031250,0.625000,-0.156250,0.968765,0.187503,-0.250004,-76.563667,-14.278850,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.960511,8.000000,0.000000,0.988953,0.078125,0.062500,-0.109375,0.968765,0.187503,-0.250004,-76.563667,-16.679148,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
